Complexity,Loss,Equation
1,0.10034998,"8.289981"
3,0.09443012,"(7.9699554 + Om)"
4,0.093368344,"(6.9113646 + exp(Om))"
5,0.088937744,"(8.780572 * (Om ^ Ob))"
6,0.08855348,"exp(2.2105596 ^ (Om ^ Ob))"
7,0.08515424,"(((Om ^ Ob) * 9.64908) - s8)"
8,0.08469784,"(((Om ^ Ob) * 11.547211) - exp(ns))"
9,0.08271097,"(((Om ^ Ob) / 0.09375876) - (s8 + ns))"
10,0.079915605,"(8.738485 ^ (((exp(Om) / ns) - s8) ^ Ob))"
11,0.07306538,"(8.279957 ^ ((h / 0.6560756) ^ ((0.9630009 - ns) / 0.13548617)))"
12,0.07297705,"(8.27993 ^ ((h / 0.65614706) ^ (log(0.9627458 / ns) / 0.14093412)))"
13,0.067167416,"((7.959968 + Om) ^ ((h / 0.6560756) ^ ((0.9630009 - ns) / 0.13548617)))"
14,0.059152506,"(8.297285 / ((ns + 0.044099595) ^ ((log(h) + (Ob / 0.117664486)) / 0.07382534)))"
16,0.053253163,"((7.9775014 + Om) / ((ns + 0.044078756) ^ ((log(h) + (Ob / 0.1176721)) / 0.073853545)))"
17,0.05216304,"((6.9185762 + exp(Om)) / ((ns + 0.04408003) ^ ((log(h) + (Ob / 0.11767121)) / 0.07385342)))"
18,0.04866557,"((8.775764 * (Om ^ Ob)) / ((ns + 0.039335035) ^ ((log(h) + (Ob / 0.11776061)) / 0.07415077)))"
19,0.047461376,"(exp(2.209071 ^ (Om ^ Ob)) / ((ns + 0.036579907) ^ ((log(h) + (Ob / 0.11774767)) / 0.07440842)))"
20,0.045021955,"((((Om ^ Ob) * 9.642295) / ((ns + 0.038637765) ^ ((log(h) + (Ob / 0.11774767)) / 0.081880614))) - s8)"
21,0.04481242,"((8.825021 ^ ((exp(Om) - s8) ^ Ob)) / ((ns + 0.0385347) ^ ((log(h) + (Ob / 0.11772333)) / 0.07487374)))"
22,0.043709237,"(8.943131 / ((((ns + 0.037789013) ^ ((log(h) + (Ob / 0.11767121)) / 0.11297046)) + Ob) ^ ((s8 + -0.3263226) / Om)))"
24,0.0430644,"(8.943174 / ((((ns + (0.04560582 * s8)) ^ ((log(h) + (Ob / 0.117912166)) / 0.11188205)) + Ob) ^ ((s8 + -0.326322) / Om)))"
26,0.04286543,"(8.95132 / (((((ns + (0.045653336 * s8)) ^ ((log(h) + (Ob / 0.11870037)) / 0.0762476)) ^ h) + Ob) ^ ((s8 + -0.32039666) / Om)))"
28,0.038306624,"((8.775764 * (Om ^ Ob)) / ((ns + (0.03878646 ^ exp(-0.01017646 / ((log(ns) + 0.041250154) / Ob)))) ^ ((log(h) + (Ob / 0.11796326)) / 0.08138347)))"
29,0.037435338,"(exp(2.209071 ^ (Om ^ Ob)) / ((ns + (0.036059294 ^ exp(-0.009513992 / ((log(ns) + 0.041250154) / Ob)))) ^ ((log(h) + (Ob / 0.117992304)) / 0.07978603)))"
30,0.034250095,"((((Om ^ Ob) * 9.642295) - s8) / ((ns + (0.037901215 ^ exp(Ob / ((log(ns) + 0.041250154) / -0.0105718225)))) ^ ((log(h) + (Ob / 0.11794272)) / 0.08210101)))"
31,0.03395701,"((8.824987 ^ ((exp(Om) - s8) ^ Ob)) / ((ns + (0.037789013 ^ exp((-0.0105718225 * Ob) / (log(ns) + 0.041250154)))) ^ ((log(h) + (Ob / 0.11809948)) / 0.08205333)))"
32,0.033190798,"(8.959912 / ((((ns + (0.036798865 ^ exp(-0.010498535 / ((log(ns) + 0.041250154) / Ob)))) ^ ((log(h) + (Ob / 0.11809948)) / 0.12718482)) + Ob) ^ ((s8 + -0.31396952) / Om)))"
34,0.032575477,"(8.972122 / ((((ns + ((0.04408003 * s8) ^ exp(-0.011091026 / ((log(ns) + 0.041250154) / Ob)))) ^ ((log(h) + (Ob / 0.11790018)) / 0.12987223)) + Ob) ^ ((s8 + -0.30437127) / Om)))"
36,0.03206718,"(8.972122 / ((((ns + ((0.044099595 * s8) ^ exp((-0.22993916 / ((log(ns) + 0.041250154) / Ob)) * Ob))) ^ ((log(h) + (Ob / 0.11863258)) / 0.12963806)) + Ob) ^ ((s8 + -0.30802128) / Om)))"
38,0.031903047,"(8.972122 / ((((ns + ((0.044099595 * s8) ^ exp(-0.19285588 / ((log(ns) + 0.041250154) * (s8 / (Ob * Ob)))))) ^ ((log(h) + (Ob / 0.11897244)) / 0.12841451)) + Ob) ^ ((s8 + -0.30811054) / Om)))"
40,0.031806137,"(8.972122 / ((((ns + ((0.044099595 * s8) ^ exp(-0.13606727 / ((log(ns) + 0.041250154) * (ns / ((Ob ^ s8) * Ob)))))) ^ ((log(h) + (Ob / 0.11897244)) / 0.12841451)) + Ob) ^ ((s8 + -0.3087877) / Om)))"
