Complexity,Loss,Equation
1,0.3405531,"7.6348734"
3,0.15961201,"(zt ^ 0.6147525)"
4,0.10349333,"exp(zt ^ 0.21488886)"
5,0.068713106,"((Ob / zt) ^ -0.32245365)"
6,0.055528402,"exp(zt ^ (0.26443726 - Ob))"
7,0.0498669,"((0.19888368 / zt) ^ (Ob - 0.46352878))"
8,0.024014473,"((log(zt) + Om) ^ (Ob ^ -0.15192994))"
9,0.0156144705,"(((zt * (Om ^ h)) / Ob) ^ 0.36635077)"
10,0.007646901,"((log(zt) + (Om / h)) ^ (Ob ^ -0.1410175))"
12,0.0063001113,"(((Ob ^ -0.29701778) * (1.7131202 ^ Om)) * (log(zt) - h))"
13,0.006300081,"((1.7131202 ^ Om) * ((Ob ^ -0.29701778) * log(zt / exp(h))))"
14,0.0046829986,"(((Ob * h) ^ -0.29018384) * (log(zt) + (-1.3035018 / (zt ^ Om))))"
16,0.004081057,"(((Ob ^ -0.3387384) + Om) * ((log(zt) + ((-0.060753506 / Om) * s8)) - h))"
17,0.0038638648,"((log(Ob ^ -0.93313485) + Om) * ((log(zt) + (-0.07171766 / (Om ^ s8))) - h))"
18,0.0034361128,"(((Ob ^ -0.338662) + (Om / ns)) * ((log(zt) + (-0.06521 / (Om ^ s8))) - h))"
19,0.0032935278,"((log(Ob ^ -0.9223183) + (Om / ns)) * ((log(zt) + (-0.065905854 / (Om ^ s8))) - h))"
21,0.0032617312,"((log(Ob ^ -0.91932905) + (Om / (ns ^ 1.2752562))) * ((log(zt) + (-0.06431509 / (Om ^ s8))) - h))"
22,0.003156219,"(((Ob ^ -0.33444673) + (0.39693737 / ns)) * ((log(zt) - h) + (-0.55555725 / (0.34358674 ^ (s8 - (5.6309404 * Om))))))"
23,0.0031544825,"(((Ob ^ -0.33377224) + (0.3992053 / ns)) * (log(zt / exp(h)) + (-0.55638903 / (0.33826488 ^ (s8 - (5.6312675 * Om))))))"
24,0.0023854065,"(((Ob ^ -0.33462304) + (Om ^ s8)) * ((log(zt) - h) + (-0.05665101 / (Om - (((h * 0.7499001) + Om) ^ zt)))))"
25,0.0019641428,"(((Ob ^ -0.3356543) + ((Om ^ s8) - ((log(ns + h) + Om) ^ zt))) * ((log(zt) - h) + (-0.058766793 / Om)))"
26,0.0019641407,"(((Ob ^ -0.3356543) + ((Om ^ s8) - (log((ns + h) * exp(Om)) ^ zt))) * ((log(zt) - h) + (-0.058766793 / Om)))"
27,0.0017255723,"(((Ob ^ -0.32638636) + ((Om - ((log(ns + h) + Om) ^ zt)) ^ s8)) * ((log(zt) - (h / 1.1266154)) + (-0.06340148 / Om)))"
29,0.001660637,"(((Ob ^ -0.3273779) + ((Om - ((log((ns ^ 0.66068435) + h) + Om) ^ zt)) ^ s8)) * ((log(zt) - (h / 1.1264858)) + (-0.06487084 / Om)))"
31,0.0016364732,"(((Ob ^ -0.3273779) + ((Om - ((log(((ns ^ s8) ^ s8) + h) + Om) ^ zt)) ^ s8)) * ((log(zt) - (h / 1.1264858)) + (-0.06487084 / Om)))"
33,0.0016294576,"(((Ob ^ -0.32736793) + ((Om - ((log(((ns ^ (s8 / ns)) ^ s8) + h) + Om) ^ zt)) ^ s8)) * ((log(zt) - (h / 1.1264856)) + (-0.06490018 / Om)))"
34,0.0015732979,"(((Ob ^ -0.33304885) + (Om / ns)) * ((log(zt) - h) + ((-0.055272125 / (Om - (((h * 0.76599044) + Om) ^ zt))) * ((s8 * s8) / (exp(Om) + log(h))))))"
35,0.0015732859,"(((Ob ^ -0.33304885) + (Om / ns)) * (log(zt / exp(h)) + ((-0.05527216 / (Om - (((h * 0.76599026) + Om) ^ zt))) * ((s8 * s8) / (exp(Om) + log(h))))))"
36,0.0015414994,"(((Ob ^ -0.33336648) + (Om / ns)) * ((log(zt) - h) + ((-0.055731118 / (Om - (((h * 0.76140434) + Om) ^ (zt ^ 0.9788795)))) * ((s8 * s8) / (exp(Om) + log(h))))))"
37,0.0014081113,"(((Ob ^ -0.33240458) + (Om / ns)) * ((log(zt) - h) + ((-0.049712546 / (Om - (((h * 0.7649337) + Om) ^ zt))) * ((s8 * s8) * ((exp(h) + log(Om)) ^ log(h))))))"
38,0.0014081026,"(((Ob ^ -0.33240458) + (Om / ns)) * (log(zt / exp(h)) + ((-0.049712546 / (Om - (((h * 0.7649337) + Om) ^ zt))) * ((s8 * s8) * ((exp(h) + log(Om)) ^ log(h))))))"
39,0.0013585027,"(((Ob ^ -0.33247352) + (Om ^ ns)) * ((log(zt) - h) + (((-0.04970113 * s8) / (Om - (((h * 0.76494247) + Om) ^ zt))) * (s8 * ((exp(h) + log(Om)) ^ log(h * ns))))))"
40,0.0013269585,"(((Ob ^ -0.3322146) + (Om ^ ns)) * ((log(zt) - h) + ((-0.04867832 / (Om - (((h * 0.76542) + Om) ^ zt))) * ((s8 * s8) * ((exp(h) + log(Om)) ^ log(h + log(ns)))))))"
