Complexity,Loss,Equation
1,0.010582962,"-2.1051817"
3,0.008677077,"(-1.286764 - s8)"
4,0.008597452,"log(0.099611625 / s8)"
5,0.0062970184,"((s8 + Om) * -1.8502785)"
6,0.00610345,"(-0.9788475 - (exp(Om) * s8))"
7,0.0045043356,"(((s8 + Om) * -1.9221467) * ns)"
8,0.0044131186,"((log(s8 + Om) + ns) * -1.9299742)"
9,0.0027259844,"(Ob - ((zt ^ (s8 / Tv)) + Om))"
10,0.0024818985,"((exp(s8) * ((Tv / zt) - ns)) - Om)"
11,0.0013112096,"(((Om * -1.1419803) - (zt ^ (s8 / Tv))) * ns)"
12,0.0012041775,"((log(1.0154673 - Om) - (zt ^ (s8 / Tv))) * ns)"
13,0.00091261236,"(Ob - (((zt ^ (s8 / (Tv - Om))) * ns) + Om))"
14,0.00084922666,"(((((-0.67200816 / exp(Tv)) * zt) - Om) - s8) / (0.6140837 / ns))"
15,0.00055599725,"((Ob / Om) - ((((zt / 0.5763331) ^ (s8 / Tv)) + Om) ^ ns))"
16,0.0005360768,"(((((-5.917591 - zt) / exp(Tv / (ns - Ob))) - Om) - s8) * 1.524636)"
17,0.00036246583,"((Ob / Om) - (((((h * zt) * 2.577463) ^ (s8 / Tv)) + Om) ^ ns))"
18,0.00031233297,"(((((zt / exp(Tv / (ns - (Ob ^ h)))) * -1.4475757) - Om) - s8) / 0.6247653)"
19,0.0002634266,"((Ob / Om) - ((((((11.5400505 * zt) * h) ^ ns) / Tv) ^ (s8 / Tv)) + Om))"
20,0.00022373487,"(((((-1.3854457 / exp(Tv / (ns - (Ob / (h - 0.22439985))))) * zt) - s8) - Om) / 0.63288826)"
21,0.00019552356,"((Ob / Om) - (((((((10.053536 * zt) + LX) * h) ^ ns) / Tv) ^ (s8 / Tv)) + Om))"
22,0.00015980226,"(((-2.8438368 / ((exp(Tv / (ns - (Ob / (h + -0.22652914)))) / zt) + 2.7103508)) - (Om + s8)) / 0.67584836)"
23,0.00015437625,"(((-2.555241 / ((exp(Tv / (ns - (Ob / (h + -0.23437864)))) / zt) + exp(s8))) - (Om + s8)) / 0.66669536)"
24,0.00012468507,"(((-2.5976896 / ((exp(Tv / (ns - (Ob / (h + -0.2321231)))) / zt) + (Om ^ -0.70178604))) - (Om + s8)) / 0.66954386)"
