Complexity,Loss,Equation
1,0.0140506355,"-2.0345397"
3,0.009295376,"(-1.714533 - Om)"
4,0.008614675,"(-0.6559471 - exp(Om))"
5,0.0050499793,"(-1.7836632 * (s8 + Om))"
6,0.0049847923,"(0.1640755 - (exp(Om) + s8))"
7,0.00291507,"((-0.7695708 - s8) * (ns + Om))"
9,0.0024140095,"((((Ob ^ Om) - s8) - ns) / 0.68492776)"
10,0.0015032061,"(((0.92336446 ^ (zt ^ s8)) - ns) - exp(Om))"
11,0.0010123852,"(((5.6184406 / zt) - (0.9791946 + s8)) * (ns + Om))"
12,0.0010096022,"(((2.2824354 / log(zt)) - (1.4625664 + s8)) * (ns + Om))"
13,0.00048586435,"((((0.8657232 + Ob) ^ zt) - (0.866325 + s8)) * (ns + Om))"
15,0.00013285184,"(((((Ob / (zt / 83.446266)) ^ h) - s8) - 1.0565416) * (ns + Om))"
16,0.00012664526,"(((((Ob / (zt / 81.40768)) ^ h) - s8) - exp(Ob)) * (ns + Om))"
17,9.15609e-5,"(((((Ob / (zt / (82.60591 - zt))) ^ h) - s8) - 0.9881912) * (ns + Om))"
19,6.0024722e-5,"((((((Ob / (zt / 85.08853)) - Ob) ^ h) - ns) - (s8 / ns)) * (ns + Om))"
21,4.859993e-5,"(((((((Ob / (zt / 98.535675)) - Ob) ^ h) * 0.8708289) - ns) - (s8 / ns)) * (ns + Om))"
23,4.4895623e-5,"(((((((Ob / (zt / 113.57602)) - Ob) ^ h) * 0.81771505) - (ns - -0.015188844)) - (s8 / ns)) * (ns + Om))"
25,4.227886e-5,"(((((((Ob / s8) / 1.8209037) ^ (((0.034744218 * zt) ^ h) * h)) + -0.122140236) - (ns + Om)) + Ob) * (0.8236529 + s8))"
26,3.6314384e-5,"((((Ob / (exp(ns) * s8)) ^ (h * ((0.029708916 * zt) ^ h))) - ((ns + (Om - -0.119677715)) - Ob)) * (0.82808346 + s8))"
27,3.192859e-5,"(((((((Ob / ns) / (s8 - -0.6991737)) ^ ((0.03387184 * zt) ^ h)) ^ h) + -0.14852446) - ((ns + Om) - Ob)) * (0.7968908 + s8))"
28,3.090306e-5,"((((((Ob / ns) / 0.6732505) / exp(s8)) ^ (h * ((0.03393256 * zt) ^ h))) - ((ns + (Om - Ob)) - -0.14749499)) * (0.79713804 + s8))"
29,3.0135096e-5,"((((((((Ob / ns) / 1.7588825) / (s8 ^ 0.7193962)) ^ ((0.033823296 * zt) ^ h)) ^ h) + -0.14852433) - (Om + (ns - Ob))) * (0.7968908 + s8))"
30,2.997841e-5,"(((((Ob / (0.7067988 / (ns ^ -1.3519806))) / exp(s8)) ^ (h * ((0.03342909 * zt) ^ h))) - (ns + ((Om - Ob) - -0.14749499))) * (0.797138 + s8))"
31,2.9117375e-5,"((((((((Ob / 1.7686435) / (s8 ^ (1.6609342 - ns))) / ns) ^ ((0.033625722 * zt) ^ h)) ^ h) + -0.14873756) - (ns + (Om - Ob))) * (0.79699737 + s8))"
33,2.83553e-5,"((((((((Ob / 1.7588825) / (s8 ^ ((1.4839953 - ns) / s8))) / ns) ^ h) ^ ((0.033581056 * zt) ^ h)) + -0.14873871) - ((ns + Om) - Ob)) * (0.7968908 + s8))"
35,2.8091137e-5,"(((((((Ob / (1.7588825 * ns)) / (s8 ^ ((1.4934704 - ns) / s8))) ^ ((0.03357387 * zt) ^ (h ^ 1.0312141))) ^ h) + -0.14873753) - ((ns + Om) - Ob)) * (0.7968908 + s8))"
37,2.737577e-5,"((((((Ob / (ns + (((Om + 0.75920206) - ns) ^ Ob))) / (s8 ^ 0.755106)) / ns) ^ (h * ((0.03333168 * zt) ^ h))) - (ns + ((Om - Ob) - -0.14749499))) * (0.79712266 + s8))"
38,2.5430223e-5,"((((((Ob / (s8 + (log((s8 ^ 0.9620062) + Om) ^ Ob))) ^ (ns ^ Om)) * 1.0825541) ^ (h * ((0.03345136 * zt) ^ h))) - ((ns + (Om - Ob)) - -0.14749593)) * (0.7972763 + s8))"
40,2.44562e-5,"((((((Ob / (s8 + (log((s8 ^ 0.9601241) + Om) ^ Ob))) ^ (ns ^ (Om / s8))) / 0.9265904) ^ (h * ((0.033549394 * zt) ^ h))) - ((ns + (Om - Ob)) - -0.14749901)) * (0.7972787 + s8))"
