Complexity,Loss,Equation
1,0.35394442,"7.421644"
3,0.13565245,"(zt ^ 0.60453063)"
4,0.095005,"exp(zt ^ 0.21013878)"
5,0.071185805,"((zt / Ob) ^ 0.31769204)"
6,0.054587744,"exp(zt ^ (0.25968498 - Ob))"
7,0.053832732,"(((zt - 6.1006584) / Ob) ^ 0.3309045)"
8,0.03770936,"(log(zt / h) ^ (Ob ^ -0.14187372))"
9,0.03705886,"((((zt / h) - 10.717124) / Ob) ^ 0.31327203)"
10,0.033598077,"((((zt - log(E0)) / h) / Ob) ^ 0.3117259)"
11,0.030949926,"((((zt / h) - (3.200503 / Om)) / Ob) ^ 0.3124695)"
12,0.02742563,"((((zt - log(E0)) / Ob) ^ 0.3113069) / (h ^ Om))"
13,0.025393162,"((((zt / h) - ((E0 ^ 0.18231098) / Om)) / Ob) ^ 0.31304622)"
14,0.024399757,"((((zt - log(E0)) / Ob) ^ 0.30640793) / (h ^ (Om ^ s8)))"
15,0.021023925,"((((zt / h) - ((E0 ^ (s8 / Tv)) / Om)) / Ob) ^ 0.31298214)"
17,0.018450102,"(((((zt / h) - ((E0 ^ (s8 / Tv)) / Om)) / Ob) / ns) ^ 0.31111488)"
19,0.017802421,"(((((zt / h) - ((E0 ^ (Tv ^ -1.0058233)) / (Om ^ s8))) / ns) / Ob) ^ 0.3118402)"
21,0.017584518,"((((zt / h) - ((E0 ^ ((Tv ^ -0.8552669) * s8)) / (Om ^ 0.77317107))) / (Ob * ns)) ^ 0.31156552)"
22,0.017264565,"(((((zt - (E0 ^ ((h + -0.33215573) * s8))) / Ob) / ns) ^ 0.32870954) + (log(Om * Tv) - Om))"
23,0.016324664,"((((zt - (E0 ^ (h + -0.39841127))) / Ob) ^ 0.32850972) + log((Tv * ((LX / 11.707586) - exp(ns))) * Om))"
25,0.013538385,"((((zt - ((E0 ^ (h + -0.32597086)) ^ s8)) / Ob) ^ 0.32774115) + log((Tv * ((LX / 11.507277) - exp(ns))) * Om))"
26,0.013517217,"((((zt - ((E0 ^ (h + -0.32712078)) ^ s8)) / Ob) ^ 0.3283372) + log((Om * Tv) * ((LX / exp(2.4503)) - exp(ns))))"
27,0.012807249,"((((zt - ((E0 ^ (h + -0.32744983)) ^ s8)) / Ob) ^ 0.329034) + log(((Om * Tv) ^ s8) * ((LX / 11.501756) - exp(ns))))"
28,0.012062451,"((((zt - ((E0 ^ s8) ^ (h + (Tv * -0.07390528)))) / Ob) ^ 0.3293982) + log(log(Om * 11.510122) * ((LX / 11.502111) - exp(ns))))"
30,0.011585815,"((((zt - (E0 ^ ((h + (Tv * -0.07870627)) ^ (s8 ^ -0.60602677)))) / Ob) ^ 0.32916355) + log(log(Om * 11.507277) * ((LX / 11.507277) - exp(ns))))"
32,0.0112865865,"((((zt - (E0 ^ ((h + (Tv * -0.07870627)) ^ (s8 ^ (Om - 0.93098116))))) / Ob) ^ 0.3290865) + log(log(Om * 11.507277) * ((LX / 11.507277) - exp(ns))))"
34,0.011083764,"((((zt - (((E0 ^ (h + -0.33586064)) ^ s8) - ((Om ^ Tv) / -0.0047407113))) / Ob) ^ 0.32356146) + log((Om * Tv) ^ (((LX + (ns / -0.03260785)) / 3.477464) + -1.6197647)))"
